,x,y,start,type,hitsound,end
0,64,192,1142,5,0,0
1,448,192,1142,1,0,0
2,64,192,1637,1,0,0
3,448,192,1885,1,0,0
4,320,192,1885,1,0,0
5,64,192,2133,1,0,0
6,192,192,2133,1,0,0
7,64,192,2629,1,0,0
8,448,192,2629,1,0,0
9,192,192,2877,1,0,0
10,320,192,2877,1,0,0
11,64,192,3125,1,0,0
12,448,192,3125,1,0,0
13,192,192,3373,1,0,0
14,448,192,3621,1,0,0
15,320,192,3621,1,0,0
16,64,192,3869,1,0,0
17,192,192,4117,1,0,0
18,448,192,4117,1,0,0
19,320,192,4365,1,0,0
20,192,192,4613,1,0,0
21,64,192,4613,128,0,4861
22,448,192,4861,128,0,5108
23,192,192,5108,1,0,0
24,64,192,5108,1,0,0
25,64,192,5356,1,0,0
26,448,192,5356,1,0,0
27,320,192,5604,1,0,0
28,448,192,5604,1,0,0
29,192,192,5852,1,0,0
30,64,192,5852,1,0,0
31,448,192,5976,1,0,0
32,320,192,5976,1,0,0
33,192,192,6100,1,0,0
34,64,192,6100,1,0,0
35,64,192,6348,1,0,0
36,448,192,6348,1,0,0
37,320,192,6596,1,0,0
38,448,192,6596,1,0,0
39,320,192,6844,1,0,0
40,192,192,6844,1,0,0
41,64,192,7092,1,0,0
42,192,192,7092,1,0,0
43,448,192,7216,1,0,0
44,320,192,7340,1,0,0
45,192,192,7464,1,0,0
46,64,192,7588,1,0,0
47,448,192,7588,1,0,0
48,320,192,7712,1,0,0
49,192,192,7836,1,0,0
50,64,192,7960,1,0,0
51,320,192,8084,1,0,0
52,448,192,8084,1,0,0
53,192,192,8208,1,0,0
54,64,192,8332,1,0,0
55,448,192,8456,1,0,0
56,320,192,8580,1,0,0
57,192,192,8580,1,0,0
58,64,192,9075,128,0,9571
59,192,192,9075,1,0,0
60,448,192,9571,1,0,0
61,320,192,9571,1,0,0
62,192,192,9819,1,0,0
63,448,192,10067,1,0,0
64,64,192,10067,1,0,0
65,320,192,10191,1,0,0
66,192,192,10315,1,0,0
67,64,192,10439,1,0,0
68,320,192,10563,1,0,0
69,448,192,10563,1,0,0
70,64,192,10811,1,0,0
71,192,192,11059,1,0,0
72,448,192,11059,1,0,0
73,320,192,11307,128,0,11555
74,448,192,11555,1,0,0
75,64,192,11555,1,0,0
76,192,192,11803,1,0,0
77,320,192,12051,1,0,0
78,448,192,12051,1,0,0
79,64,192,12175,1,0,0
80,192,192,12299,1,0,0
81,320,192,12422,1,0,0
82,448,192,12546,1,0,0
83,64,192,12546,1,0,0
84,192,192,12794,128,0,13042
85,448,192,13042,1,0,0
86,320,192,13042,1,0,0
87,64,192,13290,128,0,13538
88,192,192,13538,1,0,0
89,320,192,13538,1,0,0
90,448,192,13786,1,0,0
91,64,192,14034,1,0,0
92,192,192,14034,1,0,0
